
"Deutschplus Grammatik"           "uri":"https://www.deutschplus.net/",
"Deutsche Grammatik"              "uri":"https://mein-deutschbuch.de/grammatik.html",
"Grammatik Handouts"              "uri":"https://www.nthuleen.com/teach/grammar.html",
"DE Stack Exchange"               "uri":"https://german.stackexchange.com/",


"15 German expressions you should know!"    "uri":"https://www.youtube.com/watch?v=pR1s7duwLNM",
"NA JA - Explained"                         "uri":"https://www.youtube.com/watch?v=uqhNQ7fiQSQ",
"10 More German Expressions"                "uri":"https://www.youtube.com/watch?v=Zx6Yi7c0OQc",
"11 German Interjections"                   "uri":"https://www.youtube.com/watch?v=LaCLFnv9ZBE",
"11 More German Interjections"              "uri":"https://www.youtube.com/watch?v=LuLvjFYAtEo",


"Дисциплина: Вводно-фонетический курс немецкого языка - Лекция 1..pdf"    "uri":"https://sgpi.ru/user/-309/umk/%D0%9B%D0%B5%D0%BA%D1%86%D0%B8%D1%8F%201..pdf",
"Урок 1. Немецкий алфавит. Звуки немецкого языка. Произношение"           "uri":"https://lingust.ru/deutsch/thema-1-1/aussprache",
"Приставки в немецком: разбираемся раз и навсегда! | Хакни немецкий с @achsodasha | Дзен"   "uri":"https://dzen.ru/a/ZKp6ng09bGIHRgOW",
"Отделяемые приставки в немецком — Школа немецкого языка DeutscherPapa"                     "uri":"https://deutscherpapa.by/otdelyaemye-pristavki-v-nemeckom/",
"8.5. Звуки e:, ε:, ε"                                                                      "uri":"https://studfile.net/preview/9121284/page:18/",
"Деепричастие в немецком языке. Деепричастие Partizip I в роли имени прилагательного. Конструкции с Partizip I."         "uri":"https://online-teacher.ru/blog/%D0%B4%D0%B5%D0%B5%D0%BF%D1%80%D0%B8%D1%87%D0%B0%D1%81%D1%82%D0%B8%D0%B5-%D0%B2-%D0%BD%D0%B5%D0%BC%D0%B5%D1%86%D0%BA%D0%BE%D0%BC-%D1%8F%D0%B7%D1%8B%D0%BA%D0%B5",
"Произношение гласных"                                                                      "uri":"https://rus-de.com/index/proiznoshenie_glasnyh/0-354",
"Произношение буквосочетаний"                                                               "uri":"https://rus-de.com/index/proiznoshenie_bukvosochetanij/0-26",
"Online Test zur deutschen Wortschatzgröße"                                                 "uri":"https://www.arealme.com/german-vocabulary-size-test/de/",
"Немецкие слова по уровням | Слова немецкого языка для начинающих и продолжающих учить язык - Auf Deutsch"         "uri":"https://auf-deutsch.eu/ru/slovarny-zapas/nemetskie-slova-po-urovnjam/",
