###### Глаголы &nbsp;•&nbsp; Сильные

# Группа 3

---

## 3:&emsp;%[m|e] - %[m|a] - %[m|o]

|brechen brach gebrochen|bricht&emsp;•&emsp;haben / sein|ломать
|helfen half geholfen|hilft&emsp;•&emsp;hat|помогать
|nehmen nahm genommen|nimmt&emsp;•&emsp;hat|брать
|sprechen sprach gesprochen|spricht&emsp;•&emsp;hat|говорить
|treffen traf getroffen|trifft&emsp;•&emsp;hat|встречать
|werfen warf geworfen|wirft&emsp;•&emsp;hat|кидать

|befehlen befahl befohlen|befiehlt&emsp;•&emsp;hat|приказывать
|bergen barg geborgen|birgt&emsp;•&emsp;hat|спасать
|bersten barst geborsten|birst&emsp;•&emsp;ist|лопнуть
|empfehlen empfahl empfohlen|empfiehlt&emsp;•&emsp;hat|рекомендовать
|gelten galt gegolten|gilt&emsp;•&emsp;hat|стоить, цениться
|schrecken schrak schrocken|schrickt&emsp;•&emsp;ist|страшить; вспугивать
|schelten schalt gescholten|schilt&emsp;•&emsp;hat|бранить
|schrecken schrak geschrocken|schrickt&emsp;•&emsp;ist|пугаться
|stechen stach gestochen|sticht&emsp;•&emsp;ist|колоть
|stehlen stahl gestohlen|stiehlt&emsp;•&emsp;hat|воровать
|sterben starb gestorben|stirbt&emsp;•&emsp;ist|умирать
|verderben verdarb verdorben|verdirbt&emsp;•&emsp;haben / sein|портить
|werben warb geworben|wirbt&emsp;•&emsp;hat|рекламировать

---
